OrderID,CancellationLatency(ms)
30692167760,162
30692167380,172
30692166797,161
30692166548,174
30692166510,172
30692166342,174
30692166322,165
30692166213,168
30692166195,155
30692166056,168
30692165877,162
30692165726,167
30692165686,166
30692165667,160
30692165641,164
30692165468,161
30692165130,177
30692164809,167
30692164784,170
30692164372,167
30692164002,185
30692163347,161
30692162997,171
30692162788,166
30692162421,158
30692162174,169
30692162148,161
30692161806,161
30692160301,159
30692160241,156
30692159183,161
30692159081,170
30692158406,159
30692158373,182
30692158196,161
