Instrument,Price,Amount,Latency(ms)
ETH-PERPETUAL,10000,10,157
ETH-PERPETUAL,10000,10,155
BTC-PERPETUAL,10000,10,166
ETH-PERPETUAL,10000,10,161
ADA_USDC-PERPETUAL,10000,10,162
ETH-PERPETUAL,10000,10,169
ETH-PERPETUAL,10000,10,158
BTC-PERPETUAL,10000,10,182
BTC-PERPETUAL,10000,10,159
ETH-PERPETUAL,10000,10,155
ADA_USDC-PERPETUAL,10000,10,165
ETH-PERPETUAL,10000,10,175
ADA_USDC-PERPETUAL,10000,10,165
ETH-PERPETUAL,10000,10,165
ADA_USDC-PERPETUAL,10000,10,173
ETH-PERPETUAL,10000,10,161
BTC-PERPETUAL,10000,10,178
BTC-PERPETUAL,10000,10,170
ETH-PERPETUAL,10000,10,167
ETH-PERPETUAL,10000,10,151
ADA_USDC-PERPETUAL,10000,10,180
ADA_USDC-PERPETUAL,10000,10,162
BTC-PERPETUAL,10000,10,170
BTC-PERPETUAL,10000,10,163
ADA_USDC-PERPETUAL,10000,10,160
ADA_USDC-PERPETUAL,10000,10,161
ADA_USDC-PERPETUAL,10000,10,162
ETH-PERPETUAL,10000,10,169
ETH-PERPETUAL,10000,10,177
ETH-PERPETUAL,10000,10,153
ADA_USDC-PERPETUAL,10000,10,162
BTC-PERPETUAL,10000,10,152
BTC-PERPETUAL,10000,10,165
BTC-PERPETUAL,10000,10,170
ADA_USDC-PERPETUAL,10000,10,160
BTC-PERPETUAL,10000,10,174
ETH-PERPETUAL,10000,10,182
ETH-PERPETUAL,10000,10,168
ETH-PERPETUAL,10000,10,167
ETH-PERPETUAL,10000,10,165
BTC-PERPETUAL,10000,10,166
BTC-PERPETUAL,10000,10,175
BTC-PERPETUAL,10000,10,161
ADA_USDC-PERPETUAL,10000,10,162
ADA_USDC-PERPETUAL,10000,10,161
ETH-PERPETUAL,10000,10,162
ADA_USDC-PERPETUAL,10000,10,163
ADA_USDC-PERPETUAL,10000,10,160
ADA_USDC-PERPETUAL,10000,10,163
BTC-PERPETUAL,10000,10,164
ADA_USDC-PERPETUAL,10000,10,173
ETH-PERPETUAL,10000,10,171
ETH-PERPETUAL,10000,10,160
ADA_USDC-PERPETUAL,10000,10,171
ADA_USDC-PERPETUAL,10000,10,165
BTC-PERPETUAL,10000,10,182
ADA_USDC-PERPETUAL,10000,10,174
ADA_USDC-PERPETUAL,10000,10,170
ETH-PERPETUAL,10000,10,164
ETH-PERPETUAL,10000,10,169
BTC-PERPETUAL,10000,10,158
BTC-PERPETUAL,10000,10,161
ADA_USDC-PERPETUAL,10000,10,167
BTC-PERPETUAL,10000,10,163
ADA_USDC-PERPETUAL,10000,10,165
ADA_USDC-PERPETUAL,10000,10,161
ETH-PERPETUAL,10000,10,163
BTC-PERPETUAL,10000,10,164
ETH-PERPETUAL,10000,10,165
ADA_USDC-PERPETUAL,10000,10,167
BTC-PERPETUAL,10000,10,169
BTC-PERPETUAL,10000,10,175
BTC-PERPETUAL,10000,10,172
BTC-PERPETUAL,10000,10,163
ADA_USDC-PERPETUAL,10000,10,169
BTC-PERPETUAL,10000,10,175
ADA_USDC-PERPETUAL,10000,10,181
ADA_USDC-PERPETUAL,10000,10,166
BTC-PERPETUAL,10000,10,164
ADA_USDC-PERPETUAL,10000,10,152
ETH-PERPETUAL,10000,10,163
BTC-PERPETUAL,10000,10,160
BTC-PERPETUAL,10000,10,162
ADA_USDC-PERPETUAL,10000,10,170
ADA_USDC-PERPETUAL,10000,10,176
BTC-PERPETUAL,10000,10,171
BTC-PERPETUAL,10000,10,162
ADA_USDC-PERPETUAL,10000,10,174
ADA_USDC-PERPETUAL,10000,10,165
ETH-PERPETUAL,10000,10,164
BTC-PERPETUAL,10000,10,159
BTC-PERPETUAL,10000,10,168
ADA_USDC-PERPETUAL,10000,10,160
BTC-PERPETUAL,10000,10,162
ETH-PERPETUAL,10000,10,176
ETH-PERPETUAL,10000,10,158
ETH-PERPETUAL,10000,10,172
BTC-PERPETUAL,10000,10,165
BTC-PERPETUAL,10000,10,162
ADA_USDC-PERPETUAL,10000,10,162
