Timestamp,Instrument,UpdateNumber,Latency(µs)
Mon Jan 13 16:18:22 2025,ETH-PERPETUAL,1,157
Mon Jan 13 16:18:22 2025,ETH-PERPETUAL,2,4178
Mon Jan 13 16:18:22 2025,ETH-PERPETUAL,3,107
Mon Jan 13 16:18:22 2025,ETH-PERPETUAL,4,144
Mon Jan 13 16:18:26 2025,ADA_USDC-PERPETUAL,1,44
Mon Jan 13 16:18:26 2025,ADA_USDC-PERPETUAL,2,276
Mon Jan 13 16:18:30 2025,BTC-PERPETUAL,1,82
Mon Jan 13 16:18:30 2025,BTC-PERPETUAL,2,8283
Mon Jan 13 16:18:30 2025,BTC-PERPETUAL,3,118
Mon Jan 13 16:18:34 2025,BTC-PERPETUAL,1,62
Mon Jan 13 16:18:34 2025,BTC-PERPETUAL,2,8505
Mon Jan 13 16:18:38 2025,BTC-PERPETUAL,1,81
Mon Jan 13 16:18:38 2025,BTC-PERPETUAL,2,30816
Mon Jan 13 16:18:42 2025,ETH-PERPETUAL,1,278
Mon Jan 13 16:18:42 2025,ETH-PERPETUAL,2,4407
Mon Jan 13 16:18:46 2025,BTC-PERPETUAL,1,198
Mon Jan 13 16:18:46 2025,BTC-PERPETUAL,2,8973
Mon Jan 13 16:18:50 2025,BTC-PERPETUAL,1,47
Mon Jan 13 16:18:50 2025,BTC-PERPETUAL,2,24150
Mon Jan 13 16:18:50 2025,BTC-PERPETUAL,3,442
Mon Jan 13 16:18:54 2025,ETH-PERPETUAL,1,176
Mon Jan 13 16:18:54 2025,ETH-PERPETUAL,2,5043
Mon Jan 13 16:18:54 2025,ETH-PERPETUAL,3,488
Mon Jan 13 16:18:58 2025,BTC-PERPETUAL,1,270
Mon Jan 13 16:18:58 2025,BTC-PERPETUAL,2,9384
Mon Jan 13 16:18:58 2025,BTC-PERPETUAL,3,181
Mon Jan 13 16:18:58 2025,BTC-PERPETUAL,4,3536
Mon Jan 13 16:19:02 2025,ADA_USDC-PERPETUAL,1,177
Mon Jan 13 16:19:02 2025,ADA_USDC-PERPETUAL,2,1383
